id,museum,name,inventory,size,details,era,technique,category,image_url,author,number_of_volume,engraved_or_handcopied
7108,上海博物馆,陶砖,,,,南北朝东魏天平元年,,陶器,,,,
7109,上海博物馆,俞文魁葬母地券砖,,,,清康熙二十五年,,陶器,,,,
7110,上海博物馆,俞学圣生圹地券砖,,,,清康熙二十五年,,陶器,,,,
7111,上海博物馆,砖刻马氏生圹地券砖,,,,清顺治十三年,,陶器,,,,
7112,上海博物馆,俞有昇生圹地券砖,,,,清顺治十三年,,陶器,,,,
7113,上海博物馆,陶文吏俑,,,,五代十国南唐,,陶器,,,,
7114,上海博物馆,绹纹鼎,,,,战国早期,,铜器,,,,
7115,上海博物馆,镶嵌鸟兽纹壶,,,,战国早期,,铜器,,,,
7116,上海博物馆,越王丌北古剑,,,,战国早期,,铜器,,,,
7117,上海博物馆,唐贞观八年徐彪墓志铭,,,,唐太宗贞观八年,,刻石,,,,
7118,上海博物馆,陈氏朱书陶瓶,,,,汉熹平三年,,陶器,,,,
7119,上海博物馆,北魏正光元年佛石像,,,,北魏孝明帝正光,,刻石,,,,
7120,上海博物馆,鸟纹簋,,,,西周早期,,铜器,,,,
7121,上海博物馆,邹元标 行书诗轴,,,,明,,书法,,,,
7122,上海博物馆,齐白石 松菊双鹊图轴,,,,近现代,,绘画,,,,
7123,上海博物馆,陈谦 行书卷,,,,明,,书法,,,,
7124,上海博物馆,佚名 清明上河图卷,,,,清,,绘画,,,,
7125,上海博物馆,萧俊贤 山水轴,,,,近现代,,绘画,,,,
7126,上海博物馆,杨法 篆书诗轴,,,,清,,书法,,,,
7127,上海博物馆,程璋 白鹰图轴,,,,近现代,,绘画,,,,
7128,上海博物馆,周天球 楚江秋思图卷,,,,明,,绘画,,,,
7129,上海博物馆,张善孖 蕙蒨山涧木莲图轴,,,,近现代,,绘画,,,,
7130,上海博物馆,王震 南屏佛祖图轴,,,,近现代,,绘画,,,,
7131,上海博物馆,吴待秋 积雪晚晴图轴,,,,近现代,,绘画,,,,
7132,上海博物馆,钱慧安 钟馗图轴,,,,近现代,,绘画,,,,
7133,上海博物馆,吴石仙 春江烟雨图轴,,,,近现代,,绘画,,,,
7134,上海博物馆,丁宝书 一本万利图轴,,,,近现代,,绘画,,,,
7135,上海博物馆,黄山寿 花卉轴,,,,清,,绘画,,,,
7136,上海博物馆,吴徵 临倪元璐山水图轴,,,,近现代,,绘画,,,,
7137,上海博物馆,任薰、任预 合作达摩听泉图轴,,,,清,,绘画,,,,
7138,上海博物馆,任预 无量寿佛图轴,,,,清,,绘画,,,,
7139,上海博物馆,费丹旭 吹箫仕女图轴,,,,清,,绘画,,,,
7140,上海博物馆,吴琴木 仿董源山水图轴,,,,近现代,,绘画,,,,
7141,上海博物馆,陆抑非 仿华嵒柳鹊花鸟图轴,,,,近现代,,绘画,,,,
7142,上海博物馆,贺天健 交通图轴,,,,近现代,,绘画,,,,
7143,上海博物馆,陈英泉 憩马图轴,,,,近现代,,绘画,,,,
7144,上海博物馆,王震 达摩图轴,,,,近现代,,绘画,,,,
7145,上海博物馆,王震 山水人物图轴,,,,近现代,,绘画,,,,
7146,上海博物馆,沈有邑、缪真等 山水花鸟杂册,,,,明,,绘画,,,,
7147,上海博物馆,佚名 仿蓝瑛蓝田种玉图册,,,,清,,绘画,,,,
7148,上海博物馆,何香凝　梅花轴,,,,近现代,,绘画,,,,
7149,上海博物馆,春宫卷,,,,清,,绘画,,,,
7150,上海博物馆,春宫册页,,,,清,,绘画,,,,
7151,上海博物馆,秘戏册,,,,清,,绘画,,,,
7152,上海博物馆,项圣谟　怀友图轴,,,,明,,绘画,,,,
7153,上海博物馆,李翠兰 渊明轶事图卷,,,,明,,绘画,,,,
7154,上海博物馆,项圣谟 山水花鸟册,,,,明,,绘画,,,,
7155,上海博物馆,苗蛮图册（二册）,,,,清,,绘画,,,,
7156,上海博物馆,冯玉祥 隶书赠仲翔先生句轴,,,,近现代,,书法,,,,
7157,上海博物馆,冯玉祥 墨茄轴,,,,近现代,,绘画,,,,
